App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
KingGodCastle,Others,3.9,,270,500000,Free,0,Everyone,Yes,Yes,Yes
BA Calculator,PRODUCTIVITY,4.1,22,24,5000,Free,0,Everyone,Yes,No,No
Your Freedom VPN Client,COMMUNICATION,4,74497,53,5000000,Free,0,Everyone,No,Yes,No
BL info,Others,4.1,98,20,5000,Free,0,Everyone,No,No,No
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,312204,57,19970000,Free,0,Everyone,Yes,Yes,Yes
BT Church,LIFESTYLE,4.9,26,84,1000,Free,0,Teen,No,No,No
"TuneIn Radio: News, Sports & Online Music Stations",Others,4.5,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
El Nuevo Día,Others,4.1,8011,13,500000,Free,0,Everyone 10+,Yes,Yes,No
Don't Starve: Pocket Edition,GAME,4.4,17988,79,100000,Paid,4.99,Teen,No,No,Yes
Out There Chronicles - Ep. 2,FAMILY,4.5,,70,1000,Paid,2.99,Teen,No,No,No
InfantRisk Center HCP,MEDICAL,2.6,41,14,1000,Paid,9.99,Everyone,No,No,No
I Am Rich,FAMILY,3.6,217,49,10000,Paid,389.99,Everyone,Yes,No,No
Blood pressure,HEALTH_AND_FITNESS,3.4,2256,16,500000,Free,0,Everyone,Yes,No,No
Hairstyles step by step,Others,4.6,4369,14,100000,Free,0,Everyone,No,No,No
Podcast Player & Podcast App - Castbox,Others,4.7,245934,270,10000000,Free,0,Everyone 10+,Yes,Yes,Yes
Blood Pressure Log - MyDiary,MEDICAL,4.7,8348,26,500000,Free,0,Everyone,Yes,Yes,No
チェインクロニクル チェインシナリオ王道バトルRPG,Others,4.2,205359,270,1000000,Free,0,Teen,Yes,No,Yes
Ohio State Fair 4-H,FAMILY,3,4,19,1000,Free,0,Everyone,No,No,No
Assassin's Creed Rebellion: Adventure RPG,Others,4.3,312204,270,5000000,Free,0,Teen,No,Yes,Yes
Save.ca,Others,3.7,2094,34,100000,Free,0,Everyone,No,No,No
GO Launcher EX UI5.0 theme,PERSONALIZATION,4.3,111634,13,5000000,Free,0,Everyone,Yes,No,No
Courier Journal,Others,3.5,254,38,10000,Free,0,Everyone 10+,Yes,Yes,No
J Touch,TOOLS,4.6,2176,0.953,100000,Free,0,Everyone,No,No,No
Wayfair - Shop All Things Home,Others,4.5,20247,47,5000000,Free,0,Everyone,No,No,No
Masha and The Bear Puzzle Game,FAMILY,4.3,13330,73,1000000,Free,0,Everyone,Yes,Yes,No
Elevate - Brain Training Games,Others,4.6,312204,270,10000000,Free,0,Everyone,No,Yes,Yes
Heads Off,Others,4.3,22164,270,1000000,Free,0,Teen,Yes,No,Yes
metroZONE,LIFESTYLE,4.1,47497,34,10000000,Free,0,Everyone,Yes,No,No
Draw N Guess Multiplayer,GAME,3.9,29505,69,1000000,Free,0,Everyone,Yes,Yes,No
ECナビ×シュフー,LIFESTYLE,4,576,74,50000,Free,0,Everyone,Yes,No,No
Keypad Lock Screen,TOOLS,4.2,312204,47,10000000,Free,0,Everyone,Yes,No,No
백자 하루 - 원고지 일기장,LIFESTYLE,4.7,11648,270,100000,Free,0,Everyone,Yes,Yes,Yes
Family Dollar,Others,4.3,2588,21,1000000,Free,0,Everyone,No,No,No
B.T.,Others,2.8,636,14,100000,Free,0,Everyone,Yes,No,No
Slendrina X,GAME,4.4,12736,56,1000000,Free,0,Teen,Yes,No,No
Beck & Bo: Toddler First Words,FAMILY,4.3,41,79,1000,Paid,2.99,Everyone,No,No,No
All Types DP & Status Maker,PHOTOGRAPHY,4.5,16,14,1000,Free,0,Teen,Yes,No,No
DV KING,PHOTOGRAPHY,3,2,93,100,Free,0,Everyone,No,No,No
Train driving simulator,FAMILY,3.8,91645,36,10000000,Free,0,Teen,Yes,Yes,No
EMT Study - NREMT Test Prep,MEDICAL,4.3,35,0.862,5000,Paid,3.99,Everyone,No,No,No
사람인 - 취업도 쉽고 빠르게,BUSINESS,4.5,23033,270,5000000,Free,0,Everyone,No,No,Yes
DS note,PRODUCTIVITY,3.9,2046,60,100000,Free,0,Everyone,No,No,No
Dog Sim Online: Raise a Family,FAMILY,4.6,94989,74,5000000,Free,0,Teen,Yes,Yes,No
Can Knockdown 3,GAME,4.1,312204,19,10000000,Free,0,Everyone,Yes,Yes,No
Captain Tsubasa (Flash Kicker): Dream Team,SPORTS,4.1,179794,270,5000000,Free,0,Everyone,Yes,Yes,Yes
Galaxy Gift,LIFESTYLE,4.4,95557,16,10000000,Free,0,Everyone,Yes,No,No
Golfshot Plus: Golf GPS,SPORTS,4.1,3387,25,50000,Paid,29.99,Everyone,Yes,Yes,No
Wheelie Challenge,GAME,4.6,137338,51,5000000,Free,0,Everyone,Yes,No,No
ColorNote Notepad Notes,PRODUCTIVITY,4.8,312204,270,19970000,Free,0,Everyone,No,No,Yes
FINAL FANTASY XV POCKET EDITION,Others,3.9,21865,270,1000000,Free,0,Teen,No,Yes,Yes
World Newspapers,Others,4.4,185884,75,1000000,Free,0,Mature 17+,Yes,No,No
Fon WiFi App – WiFi Connect,TOOLS,4.1,222,16,50000,Free,0,Everyone,No,Yes,No
