App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
"JAUMO Dating - Match, Chat & Flirt with Singles",Others,4.5,312204,270,19970000,Free,0,Mature 17+,Yes,Yes,Yes
Kurio – Baca Berita Terbaru,Others,4.2,43026,270,1000000,Free,0,Everyone 10+,Yes,No,Yes
AMC,FAMILY,3.2,20843,14,1000000,Free,0,Teen,No,No,No
Daily DM,PERSONALIZATION,4.7,51,0.259,1000,Free,0,Everyone,No,No,No
"TickTick: ToDo List Planner, Reminder & Calendar",PRODUCTIVITY,4.6,80154,270,1000000,Free,0,Everyone,No,Yes,Yes
Q Wunder,FAMILY,3.8,156,43,10000,Free,0,Everyone,No,Yes,No
Easy Origami Ideas,Others,4.2,1015,11,100000,Free,0,Everyone,Yes,No,No
Account Class-12 Solutions (D K Goel) Vol-2,FAMILY,4.6,124,23,10000,Free,0,Everyone,Yes,No,No
Recipe book: Recipes & Shopping List,Others,4.2,12440,270,1000000,Free,0,Everyone,No,No,Yes
Motorola Gallery,Others,3.9,121916,23,19970000,Free,0,Everyone,No,No,No
Dexcom G6,MEDICAL,3,,20,5000,Free,0,Everyone,No,No,No
Kristian Hla Bu,BOOKS_AND_REFERENCE,4.8,238,27,10000,Free,0,Everyone,Yes,No,No
Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,54,5000,Paid,5.99,Everyone,No,No,No
キャプテン翼 ～たたかえドリームチーム～,SPORTS,3.6,13506,270,500000,Free,0,Everyone,Yes,No,Yes
infirmiers,MEDICAL,4.7,125,23,10000,Free,0,Everyone,Yes,No,No
Truck Transport Raw Material,FAMILY,4.2,632,50,100000,Free,0,Everyone,Yes,No,No
EZ-ELD Update,Others,,14,46,1000,Free,0,Everyone,No,No,No
AJ Blue Icon Pack,PERSONALIZATION,5,4,31,50,Paid,0.99,Everyone,No,No,No
[Substratum] K-Manager for K-Klock,PERSONALIZATION,4.5,14,11,1000,Free,0,Everyone,Yes,No,No
HTC Sense Input-CA,TOOLS,3.1,124,19,100000,Free,0,Everyone,No,No,No
Heroes of Dragon Age,GAME,4.2,70389,28,1000000,Free,0,Teen,No,Yes,No
Cooking Fever – Restaurant Game,Others,4.3,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
AJ Academy: Amazing Animals,FAMILY,4.5,1564,35,50000,Free,0,Everyone,No,No,No
Free Dating Hook Up Messenger,Others,3.3,1157,21,100000,Free,0,Mature 17+,Yes,No,No
LEGO ® Batman: Beyond Gotham,FAMILY,4.1,10758,80,100000,Paid,4.99,Everyone 10+,No,No,No
Cartoon Wars: Blade,GAME,4.4,165656,38,5000000,Free,0,Teen,Yes,Yes,No
Little Lovely Dentist,FAMILY,4.2,17786,16,1000000,Free,0,Everyone,Yes,No,No
Kiamichi EC,TOOLS,4.6,7,39,1000,Free,0,Everyone,No,No,No
Furistas Cat Cafe,Others,4.5,52956,270,1000000,Free,0,Everyone,Yes,Yes,Yes
SeriesGuide – Show & Movie Manager,Others,4.3,64448,44,1000000,Free,0,Mature 17+,No,Yes,No
"Ocala Star Banner, FL",Others,4.5,75,81,5000,Free,0,Everyone,Yes,No,No
G-Switch 2,GAME,4.4,12683,19,1000000,Free,0,Everyone,Yes,No,No
Traffic Info and Traffic Alert,Others,3.6,695,29,100000,Free,0,Everyone,Yes,Yes,No
Four In A Line Free,GAME,4.3,133195,11,5000000,Free,0,Everyone,Yes,No,No
Dr. Unblock,FAMILY,3.9,3847,43,1000000,Free,0,Everyone,Yes,No,No
Painting By Numbers,FAMILY,4.1,213,26,50000,Free,0,Everyone,No,Yes,No
Hide N Seek : Mini Game,GAME,3.8,4719,54,500000,Free,0,Everyone,Yes,Yes,No
Grand Theft Auto: San Andreas,GAME,4.4,312204,26,1000000,Paid,6.99,Mature 17+,No,No,No
Exposure Ed,MEDICAL,3,2,16,500,Free,0,Everyone,No,No,No
LG Health,HEALTH_AND_FITNESS,3.3,20098,25,10000000,Free,0,Everyone,No,No,No
Dance School Stories - Dance Dreams Come Yes,FAMILY,4.4,91171,36,1000000,Free,0,Everyone,Yes,Yes,No
Scoop,PRODUCTIVITY,4.4,3466,270,100000,Free,0,Everyone,No,No,Yes
Heroes Arena,GAME,4.2,312204,88,10000000,Free,0,Everyone 10+,No,Yes,No
Bankin' - The money and banking app manager,FINANCE,4.5,46747,270,1000000,Free,0,Everyone,Yes,Yes,Yes
EdiRange,TOOLS,3,736,18,100000,Free,0,Everyone,No,No,No
LINE I Love Coffee,FAMILY,,250257,50,5000000,Free,0,Everyone,Yes,Yes,No
puhutv,Others,3.4,159766,270,5000000,Free,0,Everyone,Yes,No,Yes
CT Neck,MEDICAL,4.4,7,89,1000,Free,0,Everyone,Yes,No,No
Garden Coloring Book,Others,4.4,13791,33,1000000,Free,0,Everyone,Yes,Yes,No
ESS Mobile for AE,PRODUCTIVITY,1.9,63,18,5000,Free,0,Everyone,No,No,No
Word Search multilingual,GAME,4.2,32849,15,1000000,Free,0,Everyone,Yes,No,No
OE TRACKER CE Attendance App,MEDICAL,3.4,16,78,5000,Free,0,Everyone,No,No,No
Bundle Breaking News,Others,4.4,44923,270,1000000,Free,0,Mature 17+,Yes,Yes,Yes
Masha and the Bear: House Cleaning Games for Girls,FAMILY,4.5,43852,77,10000000,Free,0,Everyone,Yes,Yes,No
All C Programs,FAMILY,4.7,2387,69,100000,Free,0,Everyone,Yes,No,No
Cats Atelier -  A Meow Match 3 Game,Others,3.8,3268,270,500000,Free,0,Everyone,Yes,Yes,Yes
플레이윙즈_매일이 여행 D-day,Others,4.4,31101,270,1000000,Free,0,Everyone,Yes,No,Yes
T-Mobile SyncUP DRIVE,Others,4,1981,18,100000,Free,0,Everyone,No,No,No
Ringtones & Wallpapers for Me,PERSONALIZATION,4.2,89342,29,10000000,Free,0,Everyone,Yes,Yes,No
G-Switch 3,GAME,4.6,3656,39,100000,Free,0,Everyone,Yes,Yes,No
Wifi Test,Others,4,8671,31,1000000,Free,0,Everyone,Yes,No,No
R Studio,Others,3.7,23,89,5000,Free,0,Everyone,No,No,No
DIY Garden Ideas,LIFESTYLE,4.1,3309,13,500000,Free,0,Everyone,Yes,No,No
Magic Survival,Others,4.6,35735,270,1000000,Free,0,Everyone 10+,Yes,Yes,Yes
Chat With Artificial Intelligence,FAMILY,3.2,32,28,1000,Free,0,Everyone,Yes,No,No
Bubble Shooter,GAME,4.5,148897,46,10000000,Free,0,Everyone,Yes,Yes,No
"RetailMeNot: Coupons, Codes, Deals & Cash Back",Others,4.6,220827,270,10000000,Free,0,Everyone,Yes,No,Yes
Learn Top 300 English Words,FAMILY,4.7,61600,34,1000000,Free,0,Everyone,Yes,Yes,No
"Pechka - Visual Novel, Story Game, Adventure Game",Others,4.2,5357,270,100000,Free,0,Teen,Yes,Yes,Yes
Birds Sounds Ringtones & Wallpapers,PERSONALIZATION,4.6,5073,23,1000000,Free,0,Everyone 10+,Yes,No,No
Forgotten Hill Mementoes,GAME,4.6,2027,56,100000,Free,0,Teen,Yes,Yes,No
VetCode,MEDICAL,4.9,28,57,5000,Free,0,Everyone,No,No,No
cg guruji,FAMILY,4.5,,41,10000,Free,0,Everyone,Yes,No,No
Little Fire Station,FAMILY,4.2,3762,44,1000000,Free,0,Everyone,Yes,Yes,No
myQ,TOOLS,3.6,3642,29,100000,Free,0,Everyone,No,No,No
Planet O - Icon Pack,PERSONALIZATION,4.6,354,24,10000,Paid,0.99,Everyone,No,No,No
Legend of Solgard,Others,4.3,115186,270,1000000,Free,0,Everyone,No,Yes,Yes
ImmoScout24 - House & Apartment Search,Others,4.3,91236,270,10000000,Free,0,Everyone,Yes,No,Yes
8 Ball Pool,GAME,4.5,312204,52,19970000,Free,0,Everyone,Yes,No,No
CIRCLE K,Others,,9140,14,500000,Free,0,Everyone,No,No,No
Dynamics AX,BUSINESS,3.7,244,0.976,10000,Free,0,Everyone,No,No,No
Angry Birds Space HD,GAME,4.5,43645,46,5000000,Free,0,Everyone,Yes,Yes,No
The Holy Rosary,LIFESTYLE,4.7,56197,15,1000000,Free,0,Everyone,Yes,Yes,No
PORTABLE SOCCER DX Lite,SPORTS,4.2,15068,25,1000000,Free,0,Everyone,Yes,No,No
Bridge-C - Get More Storage,TOOLS,2,24,35,1000,Free,0,Everyone,No,No,No
Learn Artificial Intelligence,FAMILY,4.6,27,42,10000,Free,0,Everyone,Yes,No,No
AP Calculus BC Practice Test,FAMILY,4.2,4,29,500,Free,0,Everyone,Yes,Yes,No
Kroger,Others,4.3,38961,27,5000000,Free,0,Everyone,No,No,No
CL-App,MEDICAL,4.7,6,52,100,Free,0,Everyone,No,No,No
Two Nights at jumpscare,GAME,3.8,596,91,100000,Free,0,Teen,Yes,No,No
Automatic Call Recorder,TOOLS,4.3,312204,71,19970000,Free,0,Everyone,Yes,No,No
Mutual - LDS Dating,Others,3.7,1439,38,50000,Free,0,Mature 17+,Yes,Yes,No
Moto Fighter 3D,GAME,3.9,85410,39,10000000,Free,0,Everyone 10+,Yes,No,No
B.GOOD,Others,2.9,155,20,10000,Free,0,Everyone,No,No,No
Phonto - Text on Photos,PHOTOGRAPHY,4.3,307453,17,10000000,Free,0,Everyone,Yes,Yes,No
Fuel Calculator for EY,TOOLS,4.7,32,27,1000,Free,0,Everyone,No,No,No
Absolute RC Heli Simulator,SPORTS,3.9,654,50,10000,Paid,4.99,Everyone,No,Yes,No
B-Grade Renegade,GAME,3.9,24,64,1000,Paid,1.99,Teen,No,No,No
Super DK vs Kong Brother Advanced Free Classic,GAME,3.8,66,38,10000,Free,0,Everyone,Yes,No,No
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,312204,15,10000000,Free,0,Everyone,Yes,No,No
Tap Tap Dig - Idle Clicker Game,Others,4.4,27030,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Lanterns: The Harvest Festival,FAMILY,4.7,,72,1000,Paid,4.99,Everyone,No,No,No
Word Crossy - A crossword game,GAME,4.5,240416,53,5000000,Free,0,Everyone,Yes,Yes,No
Gyft - Mobile Gift Card Wallet,Others,4.1,9701,14,500000,Free,0,Everyone,No,No,No
KineMaster - Video Editor,Others,4.4,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
Offline Jízdní řády CG Transit,Others,4.6,7314,70,100000,Free,0,Everyone,No,Yes,No
University of Alabama,FAMILY,4.5,302,30,50000,Free,0,Everyone,No,No,No
Sermon on Proverbs CH Spurgeon,GAME,4.8,35,31,10000,Free,0,Everyone,No,No,No
The Vikings,GAME,4.4,15806,42,1000000,Free,0,Teen,Yes,Yes,No
ABEMA(アベマ) アニメ・ドラマ・映画・オリジナルのテレビ番組が視聴できる動画アプリ,Others,3.9,91190,270,10000000,Free,0,Teen,Yes,Yes,Yes
CA DMV,TOOLS,4.2,5463,60,1000000,Free,0,Everyone,No,No,No
Rope Hero: Vice Town,GAME,4.4,312204,99,10000000,Free,0,Mature 17+,Yes,Yes,No
DTPay,Others,,,0.994,1000,Free,0,Everyone,No,No,No
CY.SEND Online Top Up,FINANCE,3.2,191,10,10000,Free,0,Everyone,No,No,No
Hamster Town,Others,4.4,15349,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Download Manager,TOOLS,3.8,79132,22,10000000,Free,0,Everyone,No,No,No
Blogaway for Android (Blogger),Others,3.7,4253,41,100000,Free,0,Teen,Yes,No,No
Skype - free IM & video calls,COMMUNICATION,4.3,312204,270,19970000,Free,0,Everyone,No,No,Yes
EK Bailey Preaching Conference,Others,5,3,30,500,Free,0,Everyone,Yes,No,No
CJ: Strike Back,GAME,4.3,29330,69,1000000,Free,0,Everyone,Yes,No,No
Remote EX for NISSAN,COMMUNICATION,2.3,223,10,5000,Paid,1.49,Everyone,No,Yes,No
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13,100000,Free,0,Everyone,Yes,No,No
Transport DK,Others,4.1,204,11,10000,Free,0,Everyone,Yes,Yes,No
Super Sport Car Simulator,FAMILY,4.2,58553,50,1000000,Free,0,Everyone,Yes,No,No
REDCap Mobile App,MEDICAL,4.3,56,11,10000,Free,0,Everyone,No,No,No
CQ,Others,,7,34,1000,Free,0,Everyone 10+,No,No,No
Lapse It • Time Lapse • Pro,PHOTOGRAPHY,4.3,12865,69,100000,Paid,2.99,Everyone,No,Yes,No
The Simpsons™:  Tapped Out,Others,4.1,312204,270,19970000,Free,0,Teen,No,Yes,Yes
letgo: Buy & Sell Used Stuff,Others,4.3,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
CG - Calendars Add-On,PRODUCTIVITY,3.6,49,23,5000,Free,0,Everyone 10+,No,Yes,No
fred's Pharmacy,MEDICAL,3,315,22,100000,Free,0,Everyone,No,No,No
CB Heroes,Others,5,5,18,5,Free,0,Everyone,Yes,No,No
Turo - Better Than Car Rental,Others,4.4,14114,46,1000000,Free,0,Everyone,No,No,No
dv Prompter,Others,3.7,321,13,50000,Free,0,Everyone,Yes,No,No
Baldur's Gate: Enhanced Edition,FAMILY,,20101,78,100000,Paid,9.99,Teen,No,Yes,No
Dr. Seuss's ABC,FAMILY,4.7,429,12,10000,Paid,3.99,Everyone,No,No,No
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48,500000,Free,0,Everyone,Yes,Yes,No
BT Remote (SPP) for Bluetooth,TOOLS,4.1,,31,10000,Free,0,Everyone,Yes,No,No
콜 오브 듀티: 모바일,Others,4.3,102620,270,1000000,Free,0,Teen,No,No,Yes
Coursera,Others,4.3,124707,270,10000000,Free,0,Everyone,No,No,Yes
Morse Decoder for Ham Radio,COMMUNICATION,3.7,166,20,5000,Paid,4.99,Everyone,No,No,No
Solitaire,GAME,4.7,,23,10000000,Free,0,Everyone,Yes,No,No
Nights Keeper (do not disturb),LIFESTYLE,4.5,16426,16,500000,Free,0,Everyone,No,Yes,No
DIY On A Budget,Others,4.7,114,83,10000,Free,0,Teen,Yes,No,No
(JP)テレビ,Others,4.1,21794,270,1000000,Free,0,Mature 17+,Yes,No,Yes
Talking Tom Hero Dash - Run Game,Others,4.3,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
Masha and the Bear: Good Night!,FAMILY,4.6,29155,83,1000000,Free,0,Everyone,Yes,Yes,No
AP Manager,TOOLS,4,177,28,10000,Free,0,Everyone,Yes,No,No
Photo BG Changer,PHOTOGRAPHY,,11,17,1000,Free,0,Everyone,Yes,No,No
Five Nights at Freddy's 2,FAMILY,4.6,73919,40,500000,Paid,2.99,Teen,No,Yes,No
Pocket City Free,Others,4,14492,270,1000000,Free,0,Everyone,Yes,No,Yes
DZ Blagues,FAMILY,4.2,580,21,10000,Free,0,Everyone,Yes,No,No
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,30,500000,Free,0,Everyone,Yes,No,No
AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42,50000,Paid,1.99,Everyone,No,No,No
Multicraft Miner Exploration,GAME,4,14563,74,1000000,Free,0,Everyone 10+,Yes,No,No
BW-Joseki,GAME,4.7,705,18,10000,Free,0,Everyone,No,No,No
PrimeDelivery,MEDICAL,5,3,53,10,Free,0,Everyone,No,No,No
ClassUp,Others,4.2,5460,270,1000000,Free,0,Teen,No,No,Yes
USPS MOBILE®,BUSINESS,3.9,16589,91,1000000,Free,0,Everyone,No,No,No
Crack Attack,FAMILY,4.3,31970,77,1000000,Free,0,Everyone,Yes,Yes,No
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,22,1000000,Free,0,Everyone,No,No,No
Sisense Mobile BI,BUSINESS,4.9,23,28,1000,Free,0,Everyone,No,No,No
AcDisplay,PERSONALIZATION,,66473,30,1000000,Free,0,Everyone,No,Yes,No
EB Annual Meetings,BOOKS_AND_REFERENCE,,11,15,1000,Free,0,Everyone,Yes,No,No
Dr. 2048,FAMILY,3.9,1985,35,500000,Free,0,Everyone,Yes,No,No
DX,Others,3.1,6697,11,500000,Free,0,Everyone,No,No,No
Garena Free Fire - Rampage,Others,4.2,312204,270,19970000,Free,0,Mature 17+,No,Yes,Yes
ES Remote,FAMILY,3.3,707,15,100000,Free,0,Everyone,No,No,No
BD tools,TOOLS,4,21,0.21,10000,Free,0,Everyone,No,No,No
Revita.bg,HEALTH_AND_FITNESS,4.8,10,40,10,Free,0,Everyone,No,No,No
BK Formula Calculator,TOOLS,,6,11,100,Free,0,Everyone,No,No,No
Fly Delta,Others,3.7,27560,46,5000000,Free,0,Everyone,No,No,No
Rolling Sky,GAME,4.5,312204,50,19970000,Free,0,Everyone,Yes,No,No
CS-Touch,FAMILY,3.9,337,22,10000,Free,0,Everyone,No,No,No
WiFi Overview 360,TOOLS,4.1,15693,18,1000000,Free,0,Everyone,Yes,No,No
Sketchfab,FAMILY,4.3,906,92,50000,Free,0,Mature 17+,No,No,No
Transformers Rescue Bots: Disaster Dash,FAMILY,4.4,19245,25,1000000,Free,0,Everyone,Yes,Yes,No
EI SmartMiles,FINANCE,2.4,9,38,1000,Free,0,Everyone,No,No,No
PriorityONE Credit Union of Fl,FINANCE,4.7,178,12,1000,Free,0,Everyone,No,No,No
Battlefield™ Companion,GAME,4,263907,62,10000000,Free,0,Everyone 10+,No,No,No
Phonics Puzzles,FAMILY,3.8,4,54,100,Paid,2.99,Everyone,Yes,No,No
Zombie Defense,FAMILY,4.3,275048,41,10000000,Free,0,Teen,Yes,Yes,No
Offroad Pickup Truck S,FAMILY,4.2,5178,20,1000000,Free,0,Everyone,Yes,Yes,No
WWE,Others,,312204,20,10000000,Free,0,Teen,Yes,Yes,No
RD/FD Calculator,FINANCE,4.4,92,15,10000,Free,0,Everyone,No,No,No
Princess Adventures Puzzles,FAMILY,4.4,382,44,500000,Free,0,Everyone,Yes,Yes,No
X your Ex - Break Up Treatment,HEALTH_AND_FITNESS,4,32,64,5000,Free,0,Everyone,No,Yes,No
Nightenfell: Shared AR,GAME,4.5,20,65,1000,Paid,0.99,Everyone 10+,No,No,No
World Travel Guide by Triposo,Others,4.4,6012,81,500000,Free,0,Everyone,Yes,Yes,No
S Launcher Pro for Galaxy,PERSONALIZATION,4.1,47,0.026,1000,Paid,4.99,Everyone,No,No,No
BC Highways - Road Conditions,Others,4.4,382,12,10000,Free,0,Everyone,No,No,No
PicsArt Animator: GIF & Video,Others,3.7,47775,270,5000000,Free,0,Everyone,Yes,Yes,Yes
BEBONCOOL GAMEPAD V1.0,GAME,3.9,404,22,100000,Free,0,Everyone,No,No,No
The Florida Trail Guide,Others,4.3,100,13,5000,Free,0,Everyone,No,Yes,No
Egg,FAMILY,2.9,72,27,5000,Free,0,Mature 17+,Yes,No,No
Keep My Notes - Notepad & Memo,PRODUCTIVITY,4.6,122424,47,5000000,Free,0,Everyone,Yes,No,No
Little Panda Run,FAMILY,4.2,3235,32,1000000,Free,0,Everyone,Yes,No,No
Tiger Live Wallpaper,PERSONALIZATION,4.1,77724,71,5000000,Free,0,Teen,Yes,No,No
Zombie Catchers - love the hunt!,Others,4.4,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
Notepad,PRODUCTIVITY,4.2,80581,25,10000000,Free,0,Everyone,No,No,No
CA Service Management,BUSINESS,3.4,91,83,10000,Free,0,Everyone,No,No,No
Cheat Codes for GTA V,FAMILY,4.3,589,36,100000,Free,0,Mature 17+,Yes,Yes,No
Tunisian Dinar: Exchange rate,FINANCE,4.5,625,38,10000,Free,0,Everyone,Yes,No,No
"Babbel - Learn Languages - Spanish, French & More",Others,,312204,270,10000000,Free,0,Everyone,No,Yes,Yes
Volume Slider Like Android P Volume Control,TOOLS,4.1,1129,17,10000,Paid,0.99,Everyone,Yes,No,No
Cookie Run: Puzzle World,Others,4.4,21994,270,500000,Free,0,Everyone,Yes,Yes,Yes
Vehicle Case Checker BD,TOOLS,3.7,29,33,10000,Free,0,Everyone,Yes,No,No
Blood Pressure Monitor,MEDICAL,4.3,17,60,10000,Free,0,Everyone,Yes,Yes,No
Yeah Bunny!,Others,4.2,8506,270,500000,Free,0,Everyone,Yes,Yes,Yes
Galaxy Defense,FAMILY,4.1,78142,17,5000000,Free,0,Everyone,Yes,Yes,No
CX-60,FAMILY,3.1,19,94,1000,Free,0,Everyone,No,No,No
アイドルマスター シンデレラガールズ スターライトステージ,Others,4.3,65241,270,1000000,Free,0,Teen,No,No,Yes
Mircules DX Cluster Lite,COMMUNICATION,4.5,51,21,5000,Free,0,Everyone,No,No,No
Six Pack Abs Photo Editor,PHOTOGRAPHY,4,5967,17,1000000,Free,0,Everyone,Yes,No,No
Live Golf Scores - US & European Golf,SPORTS,4.2,798,47,50000,Free,0,Everyone 10+,Yes,No,No
DRAGON QUEST,FAMILY,4.2,9659,30,100000,Paid,2.99,Everyone,No,No,No
Deer Hunter 2018,Others,,,270,19970000,Free,0,Teen,Yes,Yes,Yes
Pokémon: Magikarp Jump,Others,4.5,312204,270,10000000,Free,0,Everyone,Yes,Yes,Yes
DRAGON QUEST V,FAMILY,4.7,1667,17,10000,Paid,14.99,Teen,No,No,No
Rewards,FINANCE,3.8,57,40,5000,Free,0,Everyone,No,No,No
Chick-fil-A,Others,4.3,28008,17,5000000,Free,0,Everyone,No,No,No
Fingerprint Quick Action,TOOLS,4.2,8484,17,1000000,Free,0,Everyone,Yes,No,No
Just Dance Now,GAME,4.2,312204,56,10000000,Free,0,Everyone,No,Yes,No
Fruit Boom,FAMILY,4.4,17753,16,1000000,Free,0,Everyone,Yes,No,No
Lab Values + Medical Reference,MEDICAL,4.5,133,28,10000,Paid,2.99,Everyone,No,No,No
Official Madhuban Murli,LIFESTYLE,4.9,301,25,10000,Free,0,Everyone,No,No,No
Freeletics Training Coach - Bodyweight Fitness,HEALTH_AND_FITNESS,4.4,211753,270,10000000,Free,0,Everyone,Yes,Yes,Yes
"Stickers for Imo, fb, whatsapp",Others,4.4,214,87,10000,Free,0,Teen,Yes,No,No
I LOVE PASTA,FAMILY,4,83875,43,1000000,Free,0,Everyone,No,Yes,No
Results for CT Lottery,FAMILY,4.5,86,86,5000,Free,0,Teen,Yes,No,No
Frequencies,TOOLS,4.2,11,31,500,Paid,0.99,Everyone,No,No,No
SNOW,PHOTOGRAPHY,4.2,312204,270,19970000,Free,0,Everyone,No,No,Yes
Palabras Cruz,Others,,264615,270,10000000,Free,0,Everyone,Yes,Yes,Yes
TracFone My Account,COMMUNICATION,3.6,20769,18,1000000,Free,0,Everyone,No,No,No
Tee and Mo Bath Time Free,FAMILY,3.6,418,97,100000,Free,0,Everyone,No,Yes,No
My Teacher - Classroom Play,FAMILY,4,155276,61,10000000,Free,0,Everyone,Yes,Yes,No
AP English Language: Practice Tests and Flashcards,FAMILY,4.5,19,54,5000,Free,0,Everyone,No,No,No
Easy Recipes,Others,,2707,89,100000,Free,0,Everyone,No,No,No
Kinedu: Developmental Activities and Milestones,Others,4.6,16845,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Southwest Airlines,Others,3.9,24781,83,5000000,Free,0,Everyone,No,No,No
e-DN - den digitala tidningen från Dagens Nyheter,Others,2.2,160,32,50000,Free,0,Everyone 10+,No,No,No
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,312204,24,19970000,Free,0,Everyone,Yes,Yes,No
Expense IQ Money Manager,FINANCE,4.4,21570,27,1000000,Free,0,Everyone,Yes,Yes,No
QRZ Assistant,COMMUNICATION,4.2,1044,35,100000,Free,0,Everyone,No,No,No
3G/4G Config Dz,TOOLS,4.2,2058,23,100000,Free,0,Everyone,Yes,No,No
The List,Others,3.5,66,12,10000,Free,0,Everyone,No,No,No
Maps CU,FINANCE,3.5,256,28,10000,Free,0,Everyone,No,No,No
Google Maps - Navigate & Explore,Others,3.8,312204,270,19970000,Free,0,Everyone,Yes,No,Yes
Camera FV-5 Lite,PHOTOGRAPHY,4,130081,56,10000000,Free,0,Everyone,No,No,No
Chenoweth AH,MEDICAL,5,1,27,100,Free,0,Everyone,No,No,No
Angry Birds Match 3,Others,4.5,312204,270,5000000,Free,0,Everyone,Yes,Yes,Yes
Photo Frames,PHOTOGRAPHY,4.3,28578,23,10000000,Free,0,Everyone,Yes,No,No
The Great Wobo Escape Ep. 1,GAME,4.2,5449,20,500000,Free,0,Everyone 10+,No,Yes,No
Yu-Gi-Oh! Duel Links,Others,4.3,312204,270,19970000,Free,0,Teen,Yes,Yes,Yes
Hello Yogurt,Others,4.5,38399,270,1000000,Free,0,Everyone,Yes,Yes,Yes
Survival Heroes - MOBA Battle Royale,Others,3.7,150701,270,1000000,Free,0,Everyone,Yes,Yes,Yes
CROSSFIRE: Warzone - Strategy War Game,Others,4,32499,270,1000000,Free,0,Teen,Yes,Yes,Yes
Zillow: Find Houses for Sale & Apartments for Rent,Others,4.5,312204,34,10000000,Free,0,Everyone,Yes,No,Yes
ColorFil - Adult Coloring Book,Others,4.1,58187,270,5000000,Free,0,Teen,Yes,Yes,Yes
Fr Agnel Pune,FAMILY,4.1,80,13,1000,Free,0,Everyone,Yes,No,No
CamScanner - Scanner to scan PDF,PRODUCTIVITY,4.7,312204,270,19970000,Free,0,Everyone,Yes,Yes,Yes
AP Installer,TOOLS,4.5,23,0.283,5000,Free,0,Everyone,No,No,No
Hunt Buddy BC,SPORTS,4.4,172,49,5000,Paid,2.99,Everyone,No,No,No
Foods Co,Others,4.3,199,25,10000,Free,0,Everyone,No,No,No
100 Doors of Revenge,FAMILY,4.1,105766,48,10000000,Free,0,Teen,Yes,Yes,No
CINEMA.BH,FAMILY,3.9,11,16,1000,Free,0,Everyone,No,No,No
iCam - Webcam Video Streaming,TOOLS,,770,24,10000,Paid,4.99,Everyone,No,No,No
Tech CU Mobile Banking,FINANCE,4.5,853,27,10000,Free,0,Everyone,No,No,No
Ag PhD Field Guide,BOOKS_AND_REFERENCE,4.1,114,63,10000,Free,0,Everyone,No,No,No
Smash Hit,GAME,4.5,312204,79,19970000,Free,0,Everyone,No,Yes,No
AZ PLAYER HD,TOOLS,3.2,24,47,10000,Free,0,Everyone,Yes,No,No
Howlr,Others,3.9,105,27,5000,Free,0,Mature 17+,No,No,No
Ramboat 2 - Run and Gun Offline FREE dash game,Others,4.3,30078,270,5000000,Free,0,Everyone 10+,Yes,Yes,Yes
H Band,HEALTH_AND_FITNESS,4,214,89,10000,Free,0,Everyone,No,No,No
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,68,1000000,Free,0,Everyone,Yes,No,No
BM Pharmacy,HEALTH_AND_FITNESS,4.9,42,18,1000,Free,0,Everyone,No,No,No
Fresh News,Others,4.4,2207,98,100000,Free,0,Everyone,No,No,No
Dude Perfect 2,GAME,4.5,312204,70,10000000,Free,0,Everyone,Yes,Yes,No
Florida Lottery Results,Others,4.1,763,22,100000,Free,0,Everyone,Yes,No,No
Let's Learn Alif Ba Ta,FAMILY,4.6,32,60,10000,Free,0,Everyone,Yes,No,No
Comics Reader,Others,3.9,4496,0.609,100000,Free,0,Everyone,No,No,No
國道路況即時通 (高速公路即時影像/車速/路況),Others,4.6,7874,270,500000,Free,0,Everyone,Yes,No,Yes
Empire Warriors: Tower Defense TD Strategy Games,Others,4.4,115070,270,5000000,Free,0,Everyone 10+,Yes,Yes,Yes
"Simple Habit: Meditation, Sleep",HEALTH_AND_FITNESS,4.7,,270,1000000,Free,0,Everyone,No,Yes,Yes
Picture Grid Builder,PHOTOGRAPHY,4,33439,39,5000000,Free,0,Everyone,Yes,No,No
BL 1-Click Camera - Free,PHOTOGRAPHY,3.5,52,18,10000,Free,0,Everyone,Yes,No,No
Mahjong,FAMILY,4.5,33983,22,5000000,Free,0,Everyone,Yes,No,No
SwiftScan - PDF Document Scanner,PRODUCTIVITY,4.4,53805,270,1000000,Free,0,Everyone,No,Yes,Yes
